index,eigenvalue,residual
520,3.109994979300e+07,1.037951225146e-05
521,3.117767922697e+07,6.634273882411e-06
522,3.138539573992e+07,7.396999905165e-06
523,3.151461072621e+07,9.125333692464e-06
524,3.168941380666e+07,7.341360627645e-06
525,3.173557467997e+07,7.385951645022e-06
526,3.180255940433e+07,5.551909500162e-06
527,3.188623671241e+07,1.075926964918e-05
528,3.206440367449e+07,7.143573365115e-06
529,3.215088203212e+07,1.209871412939e-05
530,3.232181604250e+07,8.135576656598e-06
531,3.235125301219e+07,1.246094537162e-05
532,3.242760139755e+07,1.218362473388e-05
533,3.255795831899e+07,7.771771905375e-06
534,3.258078078053e+07,7.512768667076e-06
535,3.267678961576e+07,8.606209972420e-06
536,3.277322893905e+07,9.926861659609e-06
537,3.295440535763e+07,3.777159656924e-06
538,3.306781572981e+07,8.270283513003e-06
539,3.322741094163e+07,7.946393997333e-06
540,3.326088450385e+07,8.276539897243e-06
541,3.334981404834e+07,7.211060929880e-06
542,3.343155214789e+07,7.453359599517e-06
543,3.352875400356e+07,6.225542945573e-06
544,3.355593717617e+07,9.235991347118e-06
545,3.370197360557e+07,9.360444329236e-06
546,3.385508712433e+07,1.274096847971e-05
547,3.397498514682e+07,9.558445191351e-06
548,3.403951237400e+07,1.234020704404e-05
549,3.406583643478e+07,1.413009085308e-05
550,3.420230104680e+07,9.369191341135e-06
551,3.425461512095e+07,9.958297050226e-06
552,3.428848820793e+07,1.212352369768e-05
553,3.443522058759e+07,9.327570932558e-06
554,3.455732688756e+07,1.204558689590e-05
555,3.466159456796e+07,8.715381159275e-06
556,3.472983270366e+07,7.054441251558e-06
557,3.485329386312e+07,1.415532509363e-05
558,3.488078018397e+07,1.079094603225e-05
559,3.499814949478e+07,7.149920336185e-06
560,3.506180649795e+07,1.673950305349e-05
561,3.512606449974e+07,9.859064087820e-06
562,3.516385701251e+07,7.147326526487e-06
563,3.521974188168e+07,8.263464072815e-06
564,3.532046816330e+07,9.817974936978e-06
565,3.533510591088e+07,7.961643162069e-06
566,3.542651026267e+07,8.028603355603e-06
567,3.554922439260e+07,6.571324487224e-06
568,3.563182784377e+07,5.603905206471e-06
569,3.575290818667e+07,1.169681291334e-05
570,3.587894760297e+07,7.617997992853e-06
571,3.595693594839e+07,9.037160005257e-06
572,3.604012520301e+07,7.915357528520e-06
573,3.612632673679e+07,7.903831286302e-06
574,3.616782846873e+07,1.240439870608e-05
575,3.622890189525e+07,2.183172872228e-05
576,3.628317457259e+07,2.223995703404e-05
577,3.632610053959e+07,1.475608435493e-05
578,3.650326809715e+07,1.652867885641e-05
579,3.668247357414e+07,1.161974417777e-05
580,3.676507930187e+07,1.121304434069e-05
581,3.677718011365e+07,1.232078791361e-05
582,3.689057652422e+07,8.984786805763e-06
583,3.694401108134e+07,1.140775353738e-05
584,3.699012735889e+07,1.144615099236e-05
585,3.705794333385e+07,9.751390212925e-06
586,3.707788356800e+07,1.078772447464e-05
587,3.717276252148e+07,1.738913572673e-05
588,3.723741825626e+07,1.276036645233e-05
589,3.743137029460e+07,9.371371492765e-06
590,3.747779515920e+07,1.239515548382e-05
591,3.759326484440e+07,1.498136187879e-05
